snapshot_date,order_id,source_order_ref,manual_sequence,order_created_at,due_at,manual_actual_ship_at,sku_id,sku_name,sku_spec,quantity,revenue_estimate,profit_estimate,platform_tags,manual_shortage_flag,manual_equipment_changed,notes
2026-06-16,XHS0616-001,P796...2371,1,2026-06-14 20:50:28,2026-06-21 20:50:28,,RX_WHITE_15,绒仙子白模/蓝色版本 1.0版本白模，12cm*8cm*15cm高,1.0版本白模，12cm*8cm*15cm高,2,42.56,,预售订单,false,false,订单状态=待配货
2026-06-16,XHS0616-002,P796...0421,2,2026-06-14 14:24:51,2026-06-21 14:24:51,,RX_WHITE_15,绒仙子白模/蓝色版本 1.0版本白模，12cm*8cm*15cm高,1.0版本白模，12cm*8cm*15cm高,1,23.68,,预售订单,false,false,订单状态=待配货
