snapshot_date,order_id,source_order_ref,manual_sequence,order_created_at,due_at,manual_actual_ship_at,sku_id,sku_name,sku_spec,quantity,revenue_estimate,profit_estimate,platform_tags,manual_shortage_flag,manual_equipment_changed,notes
2026-06-08,XHS0608-001,P795...4601,1,2026-05-29 18:07:26,2026-06-05 18:07:26,,RX_WHITE_15,绒仙子白模/蓝色版本 1.0版本白模，12cm*8cm*15cm高,1.0版本白模，12cm*8cm*15cm高,1,0.20,,已改价|预售订单,false,false,订单状态=待配货
2026-06-08,XHS0608-027,P795...1011,27,2026-06-01 20:20:31,2026-06-08 20:20:31,,RX_WHITE_15,绒仙子白模/蓝色版本 1.0版本白模，12cm*8cm*15cm高,1.0版本白模，12cm*8cm*15cm高,1,19.60,,预售订单,false,false,订单状态=待配货
2026-06-08,XHS0608-045,P796...5871,45,2026-06-08 11:12:54,2026-06-15 11:12:54,,RX_WHITE_10,绒仙子白模/蓝色版本 1.0版本白模，8cm*5cm*10cm高,1.0版本白模，8cm*5cm*10cm高,1,11.60,,预售订单,false,false,订单状态=待配货
2026-06-08,XHS0608-046,P795...9812,46,2026-05-30 11:08:16,2026-06-06 11:08:16,,RX_WHITE_10,绒仙子白模/蓝色版本 1.0版本白模，8cm*5cm*10cm高,1.0版本白模，8cm*5cm*10cm高,1,13.60,,预售订单,false,false,订单状态=待配货
2026-06-08,XHS0608-056,P795...3981,56,2026-06-01 17:09:49,2026-06-08 17:09:49,,RX_WHITE_15,绒仙子白模/蓝色版本 1.0版本白模，12cm*8cm*15cm高,1.0版本白模，12cm*8cm*15cm高,1,19.60,,预售订单,false,false,订单状态=待配货
2026-06-08,XHS0608-067,P796...3537,67,2026-06-07 14:25:08,2026-06-14 14:25:08,,JJ_BLACK_8,炫彩鸭喆手工涂装创意摆件 黑色炫彩，8cm x 8cm x 10cm,黑色炫彩，8cm x 8cm x 10cm,1,41.68,,预售订单,false,false,订单状态=待配货
2026-06-08,XHS0608-081,P795...0521,81,2026-05-29 22:35:52,2026-06-05 22:35:52,,RX_WHITE_10,绒仙子白模/蓝色版本 1.0版本白模，8cm*5cm*10cm高,1.0版本白模，8cm*5cm*10cm高,1,13.60,,预售订单,false,false,订单状态=待配货
